               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  87,            0.061836,            0.013864,                   0,             0.78382,             0.33333,             0.61307,             0.19934,            0.034962,            0.024474,                   0,           0.0078715,           0.0078715,           0.0078715
                  88,            0.053906,            0.015019,                   0,             0.78382,             0.33333,             0.61307,             0.19934,            0.034962,            0.024474,                   0,           0.0078467,           0.0078467,           0.0078467
                  89,             0.05753,            0.013293,                   0,             0.31079,             0.39491,             0.36232,            0.075591,            0.039423,            0.023435,                   0,            0.007822,            0.007822,            0.007822
                  90,            0.059346,           0.0087525,                   0,             0.31079,             0.39491,             0.36232,            0.075591,            0.039423,            0.023435,                   0,           0.0077973,           0.0077973,           0.0077973
                  91,            0.061526,           0.0096497,                   0,             0.90992,             0.42122,             0.85295,             0.41056,            0.031255,            0.025876,                   0,           0.0077725,           0.0077725,           0.0077725
                  92,            0.054396,             0.01308,                   0,             0.90992,             0.42122,             0.85295,             0.41056,            0.031255,            0.025876,                   0,           0.0077478,           0.0077478,           0.0077478
                  93,            0.052785,            0.010607,                   0,                   1,             0.31969,             0.87588,             0.40759,            0.032182,            0.026331,                   0,            0.007723,            0.007723,            0.007723
                  94,            0.058211,            0.013127,                   0,                   1,             0.31969,             0.87588,             0.40759,            0.032182,            0.026331,                   0,           0.0076983,           0.0076983,           0.0076983
                  95,            0.047211,            0.010623,                   0,                   1,             0.50767,             0.93254,             0.44164,            0.029198,             0.02643,                   0,           0.0076735,           0.0076735,           0.0076735
                  96,            0.057353,            0.016462,                   0,                   1,             0.50767,             0.93254,             0.44164,            0.029198,             0.02643,                   0,           0.0076488,           0.0076488,           0.0076488
                  97,            0.057651,            0.012729,                   0,             0.89672,             0.72403,             0.90389,             0.48913,             0.02884,            0.026045,                   0,            0.007624,            0.007624,            0.007624
                  98,            0.056419,            0.010236,                   0,             0.89672,             0.72403,             0.90389,             0.48913,             0.02884,            0.026045,                   0,           0.0075993,           0.0075993,           0.0075993
                  99,            0.054487,            0.011331,                   0,             0.75472,             0.76967,             0.79146,             0.16036,            0.034189,            0.024096,                   0,           0.0075745,           0.0075745,           0.0075745
                 100,             0.05547,            0.011171,                   0,             0.75472,             0.76967,             0.79146,             0.16036,            0.034189,            0.024096,                   0,           0.0075498,           0.0075498,           0.0075498
                 101,            0.042825,            0.010895,                   0,             0.82958,                0.75,             0.81889,             0.34588,            0.033415,            0.023968,                   0,            0.007525,            0.007525,            0.007525
                 102,            0.058877,            0.010385,                   0,             0.82958,                0.75,             0.81889,             0.34588,            0.033415,            0.023968,                   0,           0.0075003,           0.0075003,           0.0075003
                 103,            0.050361,            0.012195,                   0,             0.79243,             0.70833,             0.79059,             0.32938,            0.034237,            0.023839,                   0,           0.0074755,           0.0074755,           0.0074755
                 104,            0.059471,            0.012211,                   0,             0.79243,             0.70833,             0.79059,             0.32938,            0.034237,            0.023839,                   0,           0.0074507,           0.0074507,           0.0074507
                 105,            0.056783,             0.01288,                   0,             0.95417,             0.86787,             0.98009,             0.46077,            0.029167,            0.024873,                   0,            0.007426,            0.007426,            0.007426
                 106,             0.04725,            0.011134,                   0,             0.95417,             0.86787,             0.98009,             0.46077,            0.029167,            0.024873,                   0,           0.0074013,           0.0074013,           0.0074013
                 107,            0.040206,            0.013783,                   0,             0.80491,                0.75,             0.80379,             0.32899,            0.033217,            0.023989,                   0,           0.0073765,           0.0073765,           0.0073765
                 108,            0.054536,            0.011471,                   0,             0.80491,                0.75,             0.80379,             0.32899,            0.033217,            0.023989,                   0,           0.0073517,           0.0073517,           0.0073517
                 109,            0.046964,            0.011455,                   0,              0.9138,              0.8837,             0.93164,             0.32967,            0.032791,            0.023235,                   0,            0.007327,            0.007327,            0.007327
                 110,            0.051275,            0.009028,                   0,              0.9138,              0.8837,             0.93164,             0.32967,            0.032791,            0.023235,                   0,           0.0073023,           0.0073023,           0.0073023
                 111,            0.052554,            0.012916,                   0,             0.81856,             0.94027,             0.91164,             0.21883,            0.029506,            0.024966,                   0,           0.0072775,           0.0072775,           0.0072775
                 112,            0.052489,            0.012809,                   0,             0.81856,             0.94027,             0.91164,             0.21883,            0.029506,            0.024966,                   0,           0.0072527,           0.0072527,           0.0072527
                 113,            0.050133,            0.012587,                   0,             0.81563,             0.92182,             0.93237,             0.46998,            0.024837,            0.025511,                   0,            0.007228,            0.007228,            0.007228
                 114,            0.051368,            0.013147,                   0,             0.81563,             0.92182,             0.93237,             0.46998,            0.024837,            0.025511,                   0,           0.0072033,           0.0072033,           0.0072033
                 115,            0.038903,            0.014362,                   0,             0.85095,             0.95172,             0.96098,             0.48026,            0.025323,            0.024867,                   0,           0.0071785,           0.0071785,           0.0071785
